dataset,outer_fold,config,MAE_interna,MAE_interna_folds,procedencia
A,0,"d4,lr0.05,mcw1",9.345740584201913,9.1284;9.1479;9.7610,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d4,lr0.05,mcw10",9.365924490149794,9.1404;9.1421;9.8153,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d4,lr0.1,mcw1",9.194510125504621,8.9980;9.0598;9.5257,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d4,lr0.1,mcw10",9.160241739241316,8.9864;9.0522;9.4421,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d6,lr0.05,mcw1",8.851937562713278,8.4616;8.6488;9.4453,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d6,lr0.05,mcw10",8.802811929081301,8.4659;8.6571;9.2854,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d6,lr0.1,mcw1",8.718220738289805,8.2828;8.7286;9.1433,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d6,lr0.1,mcw10",8.76744837660006,8.3992;8.5995;9.3036,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d8,lr0.05,mcw1",8.524280936628182,8.1684;8.3361;9.0684,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d8,lr0.05,mcw10",8.480427968112986,8.0988;8.2559;9.0866,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d8,lr0.1,mcw1",8.640049361305524,8.2818;8.5895;9.0489,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d8,lr0.1,mcw10",8.540169808751507,7.9651;8.5546;9.1008,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d10,lr0.05,mcw1",8.531142007274287,8.0840;8.5108;8.9986,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d10,lr0.05,mcw10",8.469236777995649,8.1493;8.2672;8.9912,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d10,lr0.1,mcw1",8.58172106484987,8.0136;8.6823;9.0493,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,0,"d10,lr0.1,mcw10",8.553791375998172,8.0827;8.4552;9.1235,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,1,"d4,lr0.05,mcw1",10.120488988427082,9.5903;11.0359;9.7352,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,1,"d4,lr0.05,mcw10",10.002019792538386,9.5410;10.9220;9.5431,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,1,"d4,lr0.1,mcw1",9.809669262628365,9.2533;10.7983;9.3774,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,1,"d4,lr0.1,mcw10",9.815196290027277,9.1060;10.7451;9.5945,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
A,1,"d6,lr0.05,mcw1",9.296394950041764,8.6614;10.3327;8.8951,"results_v2/run_M4_m2.py | modelo XGBoost; config publicada = make_models(seed)['XGBoost'] importada de code/tc_pipeline.py (A) / code/datasetB_pipeline.py (B); grupos = familia quimica (conjunto de elementos) via pandas.factorize; sklearn 1.7.2, xgboost 3.0.5; n_jobs=8, tree_method=hist | run_nested: externo GroupKFold(5) determinista, interno GroupKFold(3) sobre el train externo, seleccion por MAE interna pooled sobre 16 configs; MAE_grouped_anidada = pooled out-of-fold externo; MAE_random_* de hp_grid_ambos.csv (KFold(5, shuffle=True, rs=42)); tabla2_* de tabla2_shuffle.csv (5 semillas, GroupKFold shuffle=True); seed=42"
